File name;Alliance 2-Ball Trench.Question013;Alliance 3-Ball Trench.Question012;Auton High Goal.Question010;Auton Low Goal.Question011;Climb Position Middle .Question034;Climb Position Right.Question035;Climbed Position Left.Question033;Climbed.Question032;Crossed initiation line.Question009;Defense.Question037;Did Position Control.Question043;Did Rotation Control.Question042;High Goal Cycles.Question022;High Goal Cycles.Question023;High Goal Cycles.Question024;High Goal Cycles.Question025;High Goal Cycles.Question026;Load Cycles.Question017;Load Cycles.Question018;Load Cycles.Question019;Load Cycles.Question020;Load Cycles.Question021;Low Goal Cycles.Question027;Low Goal Cycles.Question028;Low Goal Cycles.Question029;Low Goal Cycles.Question030;Low Goal Cycles.Question031;Match#.Question001;Match#.Question002;Match#.Question003;Opponent 2-Ball Trench.Question016;Opponent 3-Ball Trench .Question015;Pick-Up.Question038;Played Defense.Question041;Position Control.Question040;Position.Question008;Rendezvous.Question014;Rotation Control.Question039;Speed.Question036;Team#.Question004;Team#.Question005;Team#.Question006;Team#.Question007
11;;1;4;;;;;0;1;2;;1;;;;;;01|02|03|04|05|06|07|08|09|10|11|12|13;01;;;;;;;;;0;1;5;;;2;1;1;B3;;2;1;0;0;6;7
12;;;;;1;;;1;0;1;1;1;01|02|03|04|05|06|07|08|09|10|11|12|13|14|15;01|02|03|04|05;;;;;;;;;;;;;;0;1;9;;;1;;1;R2;;1;2;0;0;3;3
02;1;;4;2;1;;;1;1;1;1;1;01|02;01;01;01;;01|02|03|04;01|02|03;01;01|02;;01;;;01;;0;0;1;;;1;1;1;B2;1;0;1;1;0;0;1
13;;;;;;1;;1;0;1;;;01|02;01;;01;;01|02|03|04|05|06;01|02|03|04|05|06|07|08|09|10|11|12;;;;;;;;;1;1;2;;;2;;1;R1;;1;1;1;;;
03;;;;;;;;0;0;0;1;1;01|02|03|04;01;01;01|02|03|04;;01|02|03|04;01|02|03;01|02;01|02|03|04;;;01|02;01;;;1;0;1;;;1;;0;B2;;1;1;3;6;4;1
14;;1;4|5;;;;1;1;1;0;1;1;;;;;;01|02|03|04|05|06;01|02|03|04|05;01|02;01|02|03;;;;;;;1;7;7;;;0;;2;B2;1;1;1;0;4;4;3
04;;1;4;2;;1;;1;1;2;1;1;01|02|03|04;01|02|03;;;;01|02|03|04;01|02|03|04;01|02;;;;01;01|02;;;1;0;3;1;;2;1;1;B2;1;2;1;3;0;1;2
15;;;;;1;;;1;0;2;1;1;;01|02|03|04|05;;;;01|02|03|04|05|06|07|08|09|10;01|02|03|04|05|06;;01;;;;;;;0;1;1;;;2;1;1;B1;;1;1;0;9;8;7
05;1;1;4;3;1;;;1;1;1;1;1;01|02|03;01|02|03|04;;;;01|02|03;01|02|03|04|05;01;;;;;01;;;0;4;4;;;2;;1;R3;;0;0;5;5;4;5
16;1;1;4|5;;1;;;1;1;0;1;1;;;;;;01|02|03|04;;01|02|03|04|05|06|07;;;;;01|02|03|04|05;;;0;9;9;;;2;;1;R3;1;1;0;2;3;4;5
06;;;;;1;;;1;0;1;1;1;01|02;01|02;01|02|03|04|05;;;01|02|03;01|02;01|02|03|04|05;;;01;;;;;1;0;1;;;2;1;1;B2;;2;1;5;5;4;2
17;1;;5;3;1;;;1;0;0;;1;01|02|03|04;;01|02;;;;01|02|03;01;;01|02|03|04|05|06|07|08;01|02|03|04|05|06;;01|02|03|04;01|02|03|04;01;1;2;4;1;;2;1;0;R1;;1;1;6;6;9;8
07;1;;4;3;;1;;1;1;1;1;1;01|02;01|02|03|04;01|02|03;;;01|02;01|02|03|04;01|02|03|04;;;;;01;;;1;4;8;;1;2;1;0;R3;1;2;0;1;8;5;8
18;1;1;4;4;;1;;1;1;0;;1;01|02|03|04|05;01|02|03|04;01|02|03|04|05|06|07;01|02|03|04|05|06;01|02|03|04;01|02|03|04|05|06;01|02|03|04;01|02|03;01|02;01;01;;;;;0;0;6;;;2;1;;B2;1;;0;0;3;5;3
08;;1;4;1;1;;;1;1;0;1;1;01|02|03;01|02|03|04;01;;;01|02|03|04|05;01|02|03|04;01;;;01|02;;;;;0;4;1;1;1;1;1;0;B1;;0;1;3;3;3;3
19;;;1;1;;1;;1;1;0;1;;01|02|03;01|02;01|02|03;01|02;01|02|03;01|02|03|04|05|06|07|08;01|02|03|04|05|06;01|02|03;01;01|02;01|02;;;;;0;1;4;1;1;1;1;2;B2;1;0;0;0;4;9;2
09;1;1;5;;1;;;1;1;2;1;1;01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16;;;;;01|02|03|04|05|06|07;01|02|03|04|05;01|02|03;;;;;;;;0;0;1;;;2;;2;R1;;2;2;0;1;2;3
20;1;1;5;;;;1;1;1;1;1;1;01|02|03|04|05;01|02|03|04;01|02|03;01|02|03;01|02|03;01|02|03|04|05|06;01|02|03|04|05;01|02|03|04;01|02|03;01|02;;01;;;;1;3;1;;1;0;;0;B3;;2;1;3;2;4;2
10;;;;;;;;0;0;2;1;1;01|02|03|04;01|02;01|02|03|04;;;01|02|03|04;01|02;01|02|03|04;;;;;;;;0;1;0;;;2;1;2;B1;;1;1;3;4;3;4
21;;;;;;;;0;0;1;;;;;;;;;;;;;;;;;;0;1;7;;;2;1;;R3;;;0;0;0;0;7
