File name;Alliance 2-Ball Trench.Question013;Alliance 3-Ball Trench.Question012;Auton High Goal.Question010;Auton Low Goal.Question011;Climb Position Middle .Question034;Climb Position Right.Question035;Climbed Position Left.Question033;Climbed.Question032;Crossed initiation line.Question009;Defense.Question037;Did Position Control.Question043;Did Rotation Control.Question042;High Goal Cycles.Question022;High Goal Cycles.Question023;High Goal Cycles.Question024;High Goal Cycles.Question025;High Goal Cycles.Question026;Load Cycles.Question017;Load Cycles.Question018;Load Cycles.Question019;Load Cycles.Question020;Load Cycles.Question021;Low Goal Cycles.Question027;Low Goal Cycles.Question028;Low Goal Cycles.Question029;Low Goal Cycles.Question030;Low Goal Cycles.Question031;Match#.Question001;Match#.Question002;Match#.Question003;Opponent 2-Ball Trench.Question016;Opponent 3-Ball Trench .Question015;Pick-Up.Question038;Played Defense.Question041;Position Control.Question040;Position.Question008;Rendezvous.Question014;Rotation Control.Question039;Speed.Question036;Team#.Question004;Team#.Question005;Team#.Question006;Team#.Question007
44;;;;;;;;0;0;1;;;01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17;01|02|03|04|05|06|07|08|09;;;;01|02|03|04|05|06;01|02|03|04;01|02|03|04|05|06;;;;;;;;0;0;6;;;1;;1;B3;;1;2;0;0;6;5
45;;;;;;1;;1;0;1;1;1;;;;;01|02|03|04|05;;01|02|03|04|05|06|07|08;01|02;01|02|03|04|05;;;01|02|03|04|05;;01|02|03|04|05|06|07;;0;0;6;;;2;1;0;B2;;2;1;0;0;6;6
46;1;1;3|4;;;;;0;1;1;;;;;01|02|03|04|05|06|07;01;;;;01|02|03|04|05|06|07;01|02|03|04;01|02|03|04|05;;;;;01|02|03|04|05|06|07|08;0;0;6;;;1;;1;B1;;1;1;0;0;6;7
47;;;;;1;;;1;0;1;;1;;01|02;;;;;01|02|03|04|05;01;01|02|03|04|05;;;;;01|02|03;;0;0;4;;;0;;1;R3;;2;1;0;0;6;8
48;1;1;2|3;1;;;;0;1;0;1;1;;01;01|02|03;;;;01|02|03|04|05|06|07|08|09;;;;;01|02|03|04|05|06|07;;;;0;0;4;1;;2;1;2;R2;;2;1;0;0;6;9
49;;;;;;;;0;0;1;;;;01|02;01|02|03|04|05;;;;01|02|03|04|05|06|07;;01|02|03;;;;;;01|02;0;0;4;;;2;;1;R1;;1;1;0;0;7;0
29;;;;;;;;0;0;2;;;;;01;;;;;01;01|02;;;;;;01|02|03|04;0;1;0;;;1;1;1;R3;;1;1;0;0;4;2
50;;;;;1;;;1;0;2;1;;;01|02|03|04|05|06|07|08;;;;01|02|03|04|05;01|02;01|02|03|04|05;01;;;;;01|02;;0;0;4;;;2;1;2;B3;;1;1;0;0;7;1
51;1;;1;;;;;0;1;1;1;1;;;;01|02|03|04;;01|02|03|04|05|06|07|08|09|10|11|12|13;01|02;;;;;01|02|03|04|05|06|07|08;;;;0;0;4;;;1;1;2;B2;;1;1;0;0;7;3
30;1;;3;1;;;1;1;1;1;;1;01|02|03|04|05|06|07;01;01;01|02|03|04|05;;01;01|02|03|04|05|06|07;01|02|03|04|05|06|07|08|09;01|02;;;01|02|03|04;;01|02|03|04;;0;1;0;1;;2;;1;R2;;1;2;0;0;4;5
52;;;;;1;;;1;0;1;;1;;01|02|03|04|05|06|07|08|09|10|11|12|13|14|15;;;;01|02|03;01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17;;;01;;01|02|03|04|05|06|07|08;;;;0;0;4;;;2;;1;B1;;0;0;0;0;7;4
31;;;;;1;;;1;0;2;1;1;;01|02;;;;01|02|03|04|05|06;01|02|03|04|05|06|07|08|09;;01|02;;01|02|03|04|05|06|07|08|09|10|11|12;;;01|02|03;;0;1;0;;;2;1;0;R1;;1;1;0;0;4;7
53;1;;1|5;;;;;0;1;2;;;;01|02|03|04|05;;;;01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20;;01|02;;;;;;01|02|03|04|05|06|07;;0;0;2;;1;2;1;1;R3;1;1;1;0;0;7;5
32;1;1;4;;;;1;1;1;2;1;;01|02|03|04|05|06|07;01|02|03;;01|02|03|04;;01|02|03|04|05|06|07|08|09|10|11|12|13;01|02|03|04|05;;;;;01;01;;;0;1;0;;;1;1;0;B3;;1;1;0;0;4;8
54;1;1;2|3;;;;;0;1;0;;;;01;;;;;;01;01;;;;;;01;0;0;2;;;0;1;1;R1;;1;0;0;0;7;7
33;1;1;5;1;;;;0;1;0;;;01|02|03|04|05|06|07|08|09;01;;;;01|02|03|04|05|06|07;01|02|03|04;;01|02|03|04|05|06|07|08;;;01|02|03|04|05;;;01;0;1;0;;;2;1;1;B2;;1;1;0;0;4;9
55;;;;;;1;;1;0;1;;;;01;;;;01|02;01|02|03|04;01;;;;01;01|02;01;;0;0;2;;;0;1;1;B3;;1;0;0;0;7;8
34;1;1;4|5;;;;;0;1;2;1;;01|02|03|04|05|06|07|08;;;01|02;01;01|02|03|04|05;01|02|03|04|05|06;;;01;;;;;;0;1;0;;;1;1;0;B1;;1;1;0;0;5;1
56;1;;5;;1;;;1;1;1;1;1;;01|02;;01;;01;01|02|03;01|02|03|04|05;01|02;01|02|03|04|05;01;01|02|03;01|02|03|04;01;01|02|03;0;0;2;1;;2;1;1;B2;;1;0;0;0;7;9
35;;;;;;;;0;0;0;1;1;;;;;01;;;;;01;;;;;;0;0;8;;;0;1;0;R3;;0;0;0;0;5;3
57;;1;4;1;;;;0;1;1;1;1;01|02|03|04|05;01|02;;;01;;01|02|03|04;01|02;01|02|03|04|05|06;;;;;01|02;;0;0;2;;;2;;2;B1;1;1;1;0;0;8;0
