File name;Accuracy.Question033;AutonHighGoal.Question011;AutonLowGoal.Question012;Climb.Question031;ClimbPosition.Question032;CrossInitiationLine.Question010;Defense.Question035;Match#.Question001;Match#.Question002;Match#.Question003;OpponentTrenchFar.Question017;OpponentTrenchNear.Question016;PickUp.Question036;PlayedDefense.Question030;PositionB.Question008;PositionControl.Question028;PositionR.Question009;RendezvousZone.Question015;RotationControl.Question029;Speed.Question034;Team#.Question004;Team#.Question005;Team#.Question006;Team#.Question007;Tele-OpHighGoal.Question018;Tele-OpHighGoal.Question019;Tele-OpHighGoal.Question020;Tele-OpHighGoal.Question021;Tele-OpHighGoal.Question022;Tele-OpLowGoal.Question023;Tele-OpLowGoal.Question024;Tele-OpLowGoal.Question025;Tele-OpLowGoal.Question026;Tele-OpLowGoal.Question027;TrenchFarSide.Question014;TrenchNearSide.Question013
11;75;3;3;1;2;1;1;0;7;6;;;2;1;B2;2;;;2;0;1;3;4;2;01|02|03|04|05;01|02|03|04|05|06|07|08|09;01|02|03;01|02|03;01;;01;01|02;01;;1;
01;75;4|5;;1;1;1;0;0;9;9;;;1;1;B1;1;;;2;1;0;8;7;6;;;;;;;;;;;1;1
12;50;2;2;1;1;0;0;0;5;8;1;;2;;;;R1;;;1;6;3;0;7;01|02|03|04|05|06;01;01|02|03;01;01;01|02;01|02|03|04|05;01;01|02|03|04|05;01|02;;
02;50;5;4;0;;1;0;0;3;7;1;;1;;;2;R2;;0;1;6;9;6;9;01|02|03;01|02|03|04|05;01;;;01|02|03;01|02;;;;1;1
13;25;3;3;1;2;1;2;0;6;5;;;2;;;2;R2;;1;0;4;5;5;4;01|02|03|04|05|06;01|02|03;01;;;;01|02|03;01;01;01|02;1;
03;100;4|5;;0;;1;1;0;1;6;;;2;;B2;1;;;0;1;0;0;0;6;01|02|03|04|05|06|07|08|09|10|11|12|13;;;;;;;;;;;1
14;50;;1;0;2;0;2;1;2;3;1;;1;1;B2;2;;;1;0;1;3;1;0;01|02|03;01|02|03;01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20;01|02|03;01|02|03;01;01|02|03;01|02|03;01|02|03;01|02|03|04|05;;
04;75;;;0;;0;1;0;6;5;;;1;;B3;1;;;2;1;2;2;2;2;01;01|02|03|04|05|06|07|08|09;;;;;;;;;;
15;50;3;1;1;2;0;2;1;2;7;;;0;1;B2;1;;;1;1;1;5;6;9;01|02;01|02|03|04|05|06;01;01|02|03|04;01;01|02|03|04;01;01;01|02|03;01|02|03|04|05;1;
05;25;1;4;1;1;1;1;1;4;3;;;2;1;;2;R3;1;1;2;8;0;3;4;01;01|02|03;;;;01|02|03|04|05;01;01|02;;;;1
16;100;3;4;0;;1;1;0;4;4;;;1;;;;R2;;;1;1;4;8;7;01;01;01;01;01|02;01;01|02|03|04;01|02|03|04|05;01|02|03|04|05|06;01|02|03|04|05|06|07;;1
06;75;;;0;;0;2;1;1;2;;;1;1;;1;R1;;1;1;0;0;0;1;01;01;;;;;;;;;;
17;75;4;4;0;;1;2;1;7;0;;;0;1;B2;1;;;0;1;0;6;6;7;01|02|03;01|02;01;01;01|02;01|02|03;01;01|02|03|04|05|06|07|08;;01|02;1;
07;75;5;;1;2;1;2;0;0;1;;;1;1;;1;R2;;1;1;0;0;6;6;01|02;01;01;;;;;;;;1;
18;75;;;1;2;0;1;0;3;4;;;2;;;1;R2;;1;1;1;2;7;0;01|02|03|04|05;01;01|02;;;;;;;;;
08;75;;;0;;0;0;0;1;3;;;1;;;2;R2;;0;0;4;2;0;0;01|02|03|04;01|02;01|02|03;;;01|02;01;01|02;01|02;;;
19;75;4|5;;0;;1;1;0;9;7;;;1;;B2;2;;;2;1;0;1;4;3;01|02|03|04|05|06;01|02|03|04;;;;;;;;;;1
09;50;5;4;0;2;1;1;1;6;;;1;1;1;B1;1;;;0;0;0;1;2;3;01|02;01;01|02;;;01|02|03|04;01|02;01|02;;;1;
20;75;;1;1;3;1;0;1;4;8;;;2;1;;1;R2;;0;1;4;8;4;3;;;;;01|02|03;;;01|02|03|04;;;;1
10;75;4|5;;0;;1;1;0;1;5;;;1;1;;0;R3;;0;1;1;1;1;1;01;01|02;;;;;;;;;1;1
