File name;Alliance 2-Ball Trench.Question013;Alliance 3-Ball Trench.Question012;Auton High Goal.Question010;Auton Low Goal.Question011;Climb Position Middle .Question034;Climb Position Right.Question035;Climbed Position Left.Question033;Climbed.Question032;Crossed initiation line.Question009;Defense.Question037;Did Position Control.Question043;Did Rotation Control.Question042;High Goal Cycles.Question022;High Goal Cycles.Question023;High Goal Cycles.Question024;High Goal Cycles.Question025;High Goal Cycles.Question026;Load Cycles.Question017;Load Cycles.Question018;Load Cycles.Question019;Load Cycles.Question020;Load Cycles.Question021;Low Goal Cycles.Question027;Low Goal Cycles.Question028;Low Goal Cycles.Question029;Low Goal Cycles.Question030;Low Goal Cycles.Question031;Match#.Question001;Match#.Question002;Match#.Question003;Opponent 2-Ball Trench.Question016;Opponent 3-Ball Trench .Question015;Pick-Up.Question038;Played Defense.Question041;Position Control.Question040;Position.Question008;Rendezvous.Question014;Rotation Control.Question039;Speed.Question036;Team#.Question004;Team#.Question005;Team#.Question006;Team#.Question007
110;;1;4|5;;1;;;1;1;1;1;1;;;;;;01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16;01|02;;;;01;;;;;0;0;1;;;2;;2;B2;1;2;2;0;8;6;2
100;;;;3;;;;0;1;2;1;1;;;;;;;;;;;;;;;;0;0;2;;;0;1;1;R1;1;1;1;0;2;5;4
111;;1;5;;;;1;1;1;1;;;;;;;;01|02|03|04|05|06|07|08|09|10|11|12|13|14|15;01|02;01;;;01;;01;;;0;0;2;;;0;1;;B2;;;1;0;8;6;2
101;;;;3;;;;0;1;2;1;1;;;;;;;;;;;;;;;;0;0;1;;;0;1;1;R1;1;0|1;1;0;2;5;4
112;;1;4;;;1;;1;1;1;1;1;;;01|02;;;01|02|03|04|05|06|07|08|09|10;01|02;01;01;01|02|03;;;;;;0;0;2;;;1;;2;B1;;0;2;3;6;4;1
102;;;;3;;;;0;1;2;1;1;;;;;;;;;;;;;;;;0;0;3;;;0;1;1;R1;1;1;1;0;2;5;4
113;;1;5;;;;1;1;1;1;1;1;;01;01|02;;;01|02|03|04|05|06|07;01|02|03;01;;;;;;;;0;0;3;;;2;;2;B1;;1;2;3;6;4;1
103;;;3;;1;;;1;1;1;1;;01|02|03|04|05|06|07|08|09|10;;;01;;;;;;;;;;;;0;0;3;1;;2;;2;B3;;1;2;0;1;9;5
114;;1;5;;1;;;1;1;1;1;1;;;;;;01|02|03|04|05|06|07|08|09;01|02|03|04;01|02;01|02|03;;;;;;;0;0;1;;;2;;2;B1;;1;2;3;6;4;1
104;;;2|3;;;1;;1;1;1;;;01|02|03|04|05|06|07|08|09|10|11|12|13|14;;;;;;;;;;;;;;;0;0;2;1;;2;;;B3;;;2;0;1;9;5
115;;;;;;;;0;1;1;;1;;;;;;;;;;;;01|02|03;01|02;01;;0;0;3;;;1;1;;R3;;2;0;0;5;6;8
105;;;2|3;;;1;;1;1;1;1;;01|02|03|04|05|06|07|08;;;;;;;;;;;;;;;0;0;1;1;;2;;2;B3;;;2;0;1;9;5
116;;;2;;;;;0;1;2;;1;;;;;;;;;;;;;01|02|03;01;;0;0;3;1;;1;1;;R3;;1;1;0;5;6;8
106;;;;;;;;0;0;2;;;;01;01;;;;;;;;;01;01;;;0;0;1;;;1;1;;R2;;;1;0;0;3;3
117;;;3;;;;;0;1;1;;1;;;;;;;;;;;01|02|03;01|02;01|02|03|04;01;;0;0;3;1;;1;1;;R3;;2;1;0;5;6;8
107;;;;;;;;0;0;1;1;;;;;01;01;;;;;;;;;01|02;;0;0;2;;;1;1;0;R2;;;1;0;0;3;3
108;;;;;;;;0;1;1;;1;;;;;;01;;;;;01;;;;;0;0;3;;;1;1;1;R2;;0;1;0;0;3;3
109;1;1;4|5;;1;;;1;1;1;1;1;;;;;;01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18;01|02;;;;;01;;;;0;0;3;;;2;;2;B2;;2;2;0;8;6;2
